review_number,case,source_path_relative,group,decision,decision_reason,contact_sheet,review_method
46,02928--pmconbar02--580ee6ec,W3DZH.big\Art\W3D\PMCONBAR02.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02928--pmconbar02--580ee6ec\four-view.png,Manual four-view visual inspection
47,02952--pmdumpst01--1e4cd09c,W3DZH.big\Art\W3D\PMDumpst01.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02952--pmdumpst01--1e4cd09c\four-view.png,Manual four-view visual inspection
48,02973--pmgrruin3-d--880eb311,W3DZH.big\Art\W3D\PMGRRUIN3_D.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02973--pmgrruin3-d--880eb311\four-view.png,Manual four-view visual inspection
49,03032--pmpwrtower--50722fb6,W3DZH.big\Art\W3D\PMPWRTOWER.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03032--pmpwrtower--50722fb6\four-view.png,Manual four-view visual inspection
50,03044--pmstcone--9f4c9b7f,W3DZH.big\Art\W3D\PMSTCONE.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03044--pmstcone--9f4c9b7f\four-view.png,Manual four-view visual inspection
51,03147--pmwlplnend--04b549e1,W3DZH.big\Art\W3D\PMWlPlnEnd.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03147--pmwlplnend--04b549e1\four-view.png,Manual four-view visual inspection
52,03187--ptreed02--59f020d5,W3DZH.big\Art\W3D\Reed Green 2 - PTReed02.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03187--ptreed02--59f020d5\four-view.png,Manual four-view visual inspection
53,03233--ubarmdeal-f--60c12dbf,W3DZH.big\Art\W3D\UBArmDeal_f.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03233--ubarmdeal-f--60c12dbf\four-view.png,Manual four-view visual inspection
54,03253--ubbarracks-f--a64ac4ce,W3DZH.big\Art\W3D\UBBarracks_f.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03253--ubbarracks-f--a64ac4ce\four-view.png,Manual four-view visual inspection
55,03257--ubbarracksf-ns--d9e7a75b,W3DZH.big\Art\W3D\UBBarracksF_NS.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03257--ubbarracksf-ns--d9e7a75b\four-view.png,Manual four-view visual inspection
56,03270--ubbarrkseg-r--c9b14124,W3DZH.big\Art\W3D\UBBarrksEG_R.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03270--ubbarrkseg-r--c9b14124\four-view.png,Manual four-view visual inspection
57,03295--ubclstrmne--32401ab0,W3DZH.big\Art\W3D\UBClstrMne.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03295--ubclstrmne--32401ab0\four-view.png,Manual four-view visual inspection
58,03392--ubconyard--d0c952ec,W3DZH.big\Art\W3D\UBConYard.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03392--ubconyard--d0c952ec\four-view.png,Manual four-view visual inspection
59,03394--ubfieldgen--d717e1b1,W3DZH.big\Art\W3D\UBFieldGen.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03394--ubfieldgen--d717e1b1\four-view.png,Manual four-view visual inspection
60,03403--ubmfield--faa26fde,W3DZH.big\Art\W3D\UBMField.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03403--ubmfield--faa26fde\four-view.png,Manual four-view visual inspection
61,03419--ubpalaceegx--d2adc9c9,W3DZH.big\Art\W3D\UBPalaceEGX.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03419--ubpalaceegx--d2adc9c9\four-view.png,Manual four-view visual inspection
62,03453--ubpwrplant--ab4b3aaf,W3DZH.big\Art\W3D\UBPwrPlant.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03453--ubpwrplant--ab4b3aaf\four-view.png,Manual four-view visual inspection
63,03455--ubpwrplant-d--abb103f4,W3DZH.big\Art\W3D\UBPwrPlant_D.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03455--ubpwrplant-d--abb103f4\four-view.png,Manual four-view visual inspection
64,03458--ubpwrplant-e--dd94272f,W3DZH.big\Art\W3D\UBPwrPlant_E.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03458--ubpwrplant-e--dd94272f\four-view.png,Manual four-view visual inspection
65,03461--ubradarj--6e7f21c4,W3DZH.big\Art\W3D\UBRadarJ.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03461--ubradarj--6e7f21c4\four-view.png,Manual four-view visual inspection
66,03462--ubrebelhq--ef2ae437,W3DZH.big\Art\W3D\UBRebelHQ.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03462--ubrebelhq--ef2ae437\four-view.png,Manual four-view visual inspection
67,03481--ubsecretfa--8fb76015,W3DZH.big\Art\W3D\UBSecretFa.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03481--ubsecretfa--8fb76015\four-view.png,Manual four-view visual inspection
68,03551--ubwall--7740b540,W3DZH.big\Art\W3D\UBWall.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03551--ubwall--7740b540\four-view.png,Manual four-view visual inspection
69,03552--uvairace--82825671,W3DZH.big\Art\W3D\UVAirAce.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03552--uvairace--82825671\four-view.png,Manual four-view visual inspection
70,03553--uvammotrck--22c7e5e7,W3DZH.big\Art\W3D\UVAmmoTrck.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03553--uvammotrck--22c7e5e7\four-view.png,Manual four-view visual inspection
71,03558--uvbuggy--ef015e6e,W3DZH.big\Art\W3D\UVBuggy.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03558--uvbuggy--ef015e6e\four-view.png,Manual four-view visual inspection
72,03594--uvconvoy--e6872955,W3DZH.big\Art\W3D\UVConvoy.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03594--uvconvoy--e6872955\four-view.png,Manual four-view visual inspection
73,03600--uvmoutpost--bfb96a2c,W3DZH.big\Art\W3D\UVMOutpost.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03600--uvmoutpost--bfb96a2c\four-view.png,Manual four-view visual inspection
74,03613--uvsniper--f2ef3622,W3DZH.big\Art\W3D\UVSniper.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03613--uvsniper--f2ef3622\four-view.png,Manual four-view visual inspection
75,03614--uvspy--c4735112,W3DZH.big\Art\W3D\UVSpy.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03614--uvspy--c4735112\four-view.png,Manual four-view visual inspection
76,03615--uvtbd--e1306757,W3DZH.big\Art\W3D\UVTBD.w3d,missing-texture,rejected,Rejected: missing material exposed the numbered UV-test texture across substantial geometry.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03615--uvtbd--e1306757\four-view.png,Manual four-view visual inspection
77,03660--zblndbay-ds--0a635beb,W3DZH.big\Art\W3D\ZBLndBay_DS.w3d,missing-texture,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03660--zblndbay-ds--0a635beb\four-view.png,Manual four-view visual inspection
78,03777--abbarracks-ns--0adfaefa,ZH_Generals\W3D.big\Art\W3D\ABBarracks_NS.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03777--abbarracks-ns--0adfaefa\four-view.png,Manual four-view visual inspection
79,04032--abwarfact-ens--012f165a,ZH_Generals\W3D.big\Art\W3D\ABWarFact_ENS.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04032--abwarfact-ens--012f165a\four-view.png,Manual four-view visual inspection
80,04095--cbnapart01--f38c4513,ZH_Generals\W3D.big\Art\W3D\Asian Apartment 01 - CBNApart01.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04095--cbnapart01--f38c4513\four-view.png,Manual four-view visual inspection
81,04150--avconstdoz-d2--48f104c6,ZH_Generals\W3D.big\Art\W3D\avconstdoz_d2.w3d,missing-texture,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04150--avconstdoz-d2--48f104c6\four-view.png,Manual four-view visual inspection
82,04309--cbbrnshed-dg--2fa7a1b3,ZH_Generals\W3D.big\Art\W3D\CBBrnShed_dg.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04309--cbbrnshed-dg--2fa7a1b3\four-view.png,Manual four-view visual inspection
83,04606--cbindwhs02-rn--22b8b922,ZH_Generals\W3D.big\Art\W3D\CBIndWhs02_RN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04606--cbindwhs02-rn--22b8b922\four-view.png,Manual four-view visual inspection
84,04629--cbmogdis01-en--68e99d09,ZH_Generals\W3D.big\Art\W3D\CBMogdis01_en.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04629--cbmogdis01-en--68e99d09\four-view.png,Manual four-view visual inspection
85,05265--cbtgasstn-r--4cad1979,ZH_Generals\W3D.big\Art\W3D\CBTGasStn_R.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05265--cbtgasstn-r--4cad1979\four-view.png,Manual four-view visual inspection
