operation,category,source_relative,target_relative,bytes,sha256,reason,recovery
create-derivative,wak,MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine - Wave Definitions.csv,14094,fbbacaa53b1f4ad74dd74861eef138652c90a5adb73d73e56edcfcc7453c789f,,
create-derivative,wak,MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine - Wave Diagram.png,46751,6ab159c302b7829d0ff9ad3af7747e87ef08d5db8fa06ff4a8e0f03dedad4ded,,
create-derivative,wak,MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine - Wave Diagram.svg,26046,21e848cb756e24843adc6eceeb51588e5cefc752478f1f09055edbf9e884e715,,
create-derivative,wak,MapsZH.big\Maps\MD_ShellMap\MD_ShellMap.wak,MapsZH.big\Maps\MD_ShellMap\MD_ShellMap - Wave Definitions.csv,12417,7315a08e8970149c846e050aff2cd81829a1aaca7999650db2f60b94a4c4eeb0,,
create-derivative,wak,MapsZH.big\Maps\MD_ShellMap\MD_ShellMap.wak,MapsZH.big\Maps\MD_ShellMap\MD_ShellMap - Wave Diagram.png,44754,333825dc19e00ecbb6e98ba09306e4c01e528f9b5991d8e804ff37f494961cab,,
create-derivative,wak,MapsZH.big\Maps\MD_ShellMap\MD_ShellMap.wak,MapsZH.big\Maps\MD_ShellMap\MD_ShellMap - Wave Diagram.svg,24435,a90a39b976c3a55ab276e6dac17b92bdfcbfabccbdd28f0f9392fbe92d6a7918,,
create-derivative,wak,MapsZH.big\Maps\MD_USA02\md_usa02.wak,MapsZH.big\Maps\MD_USA02\md_usa02 - Wave Definitions.csv,6995,2837de1b0952db9485e04f928c6209a0e79d72e1f0724cce76051dbeac880b0a,,
create-derivative,wak,MapsZH.big\Maps\MD_USA02\md_usa02.wak,MapsZH.big\Maps\MD_USA02\md_usa02 - Wave Diagram.png,43495,758e91a0a52841f70b7dbaa4d4713b8ce9a926af94c05f978d615d269f82c2f8,,
create-derivative,wak,MapsZH.big\Maps\MD_USA02\md_usa02.wak,MapsZH.big\Maps\MD_USA02\md_usa02 - Wave Diagram.svg,16463,c29bf2219e3fb372c7e241514ce58332e1ef06c998d865f8162d7f366351c71f,,
create-derivative,wak,MapsZH.big\Maps\MD_USA05\md_usa05.wak,MapsZH.big\Maps\MD_USA05\md_usa05 - Wave Definitions.csv,10044,b92ffe90dd446b24e4847f56fa763f040da3866350ad2a00b4084a1b5a6ca9ff,,
create-derivative,wak,MapsZH.big\Maps\MD_USA05\md_usa05.wak,MapsZH.big\Maps\MD_USA05\md_usa05 - Wave Diagram.png,45160,a6150f5fcff3e5f9ed5ac5f18f80ebec078d199f84f1200aecfe7ed110b080be,,
create-derivative,wak,MapsZH.big\Maps\MD_USA05\md_usa05.wak,MapsZH.big\Maps\MD_USA05\md_usa05 - Wave Diagram.svg,21560,1b0b0e9eb11bb3bba37049deb58a1fe8f66ca0b59c4ca8dbb67f6f951b3b888f,,
create-derivative,wak,MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,MapsZH.big\Maps\Seaside Mutiny\seaside mutiny - Wave Definitions.csv,7115,80a9472da0ab7895f8d6498083db475f028ce17411f86f591384ec48fb9ca9fc,,
create-derivative,wak,MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,MapsZH.big\Maps\Seaside Mutiny\seaside mutiny - Wave Diagram.png,42146,43e274ff88f4da2f38900549587d6c6eda6a6836a29d6a9dfdec498f75fd4d4b,,
create-derivative,wak,MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,MapsZH.big\Maps\Seaside Mutiny\seaside mutiny - Wave Diagram.svg,15367,235da28c977e0366a71b61cd2a1694d00f9e68047250710fce0027384f0ddc1a,,
create-derivative,wak,MapsZH.big\Maps\ShellMapMD\ShellMapMD.wak,MapsZH.big\Maps\ShellMapMD\ShellMapMD - Wave Definitions.csv,12227,1198f13ff97e5e1f6455ea22af62b62d15b3eede6f9e406298eebdd84f47c426,,
create-derivative,wak,MapsZH.big\Maps\ShellMapMD\ShellMapMD.wak,MapsZH.big\Maps\ShellMapMD\ShellMapMD - Wave Diagram.png,44737,b3ed13d5258b5f9cdeac0e1a513f3a9e3424398077a730a7ad3a41bd9304664c,,
create-derivative,wak,MapsZH.big\Maps\ShellMapMD\ShellMapMD.wak,MapsZH.big\Maps\ShellMapMD\ShellMapMD - Wave Diagram.svg,24432,139b9510206d3939b8978cd79c990e89ed191e158d4a77b529fe40b21f37ff76,,
create-derivative,wak,MapsZH.big\Maps\Tournament Desert\Tournament Desert.wak,MapsZH.big\Maps\Tournament Desert\Tournament Desert - Wave Definitions.csv,206,66b37c645471c68e6c46aacd85319b364d871ec7512da6229fa144879be78f95,,
create-derivative,wak,MapsZH.big\Maps\Tournament Desert\Tournament Desert.wak,MapsZH.big\Maps\Tournament Desert\Tournament Desert - Wave Diagram.png,36575,2b1162747cd00f429efb22cd06069282114333fd1c0218f8e19519cb8401a668,,
create-derivative,wak,MapsZH.big\Maps\Tournament Desert\Tournament Desert.wak,MapsZH.big\Maps\Tournament Desert\Tournament Desert - Wave Diagram.svg,4310,c5a406a968685f3507a6c31575ef9e8809001faf63236a2b4cea01fdae6a6f30,,
create-derivative,wak,MapsZH.big\Maps\TournamentA\TournamentA.wak,MapsZH.big\Maps\TournamentA\TournamentA - Wave Definitions.csv,42906,cb7d2e23e7c92bd6166f68e2b0fe409d208365c01e0d98cf35f0461e4f23c4e9,,
create-derivative,wak,MapsZH.big\Maps\TournamentA\TournamentA.wak,MapsZH.big\Maps\TournamentA\TournamentA - Wave Diagram.png,41752,3d586eec1732f3a1e19593c89fba4ec09015d2bc2ccd2f6a1afda5d26f8da624,,
create-derivative,wak,MapsZH.big\Maps\TournamentA\TournamentA.wak,MapsZH.big\Maps\TournamentA\TournamentA - Wave Diagram.svg,76585,dc05d252b444b967905b918df162424a7b0cbcf7bc159b04a0cbceeed6139bba,,
create-derivative,wak,MapsZH.big\Maps\TournamentB\TournamentB.wak,MapsZH.big\Maps\TournamentB\TournamentB - Wave Definitions.csv,115336,1cb74503a06db3037a5a4992bd5ee586f80474e49d4ebf271f070b9e6c7bae45,,
create-derivative,wak,MapsZH.big\Maps\TournamentB\TournamentB.wak,MapsZH.big\Maps\TournamentB\TournamentB - Wave Diagram.png,44774,686933d610c16c3d7940b6593a1edd33b6d4b06db6fe11a1ecaa9810d815083f,,
create-derivative,wak,MapsZH.big\Maps\TournamentB\TournamentB.wak,MapsZH.big\Maps\TournamentB\TournamentB - Wave Diagram.svg,199768,c671daad25cd31ceaba39b5a4ffddad0fa03e11ddaa003335dc38f150d1ecdc0,,
create-derivative,wak,ZH_Generals\maps.big\maps\Armored Fury\Armored Fury.wak,ZH_Generals\maps.big\maps\Armored Fury\Armored Fury - Wave Definitions.csv,9125,586d747d180cd547343f2d23b4a1bfe475371c5c7cc976de2ec54e84246c373d,,
create-derivative,wak,ZH_Generals\maps.big\maps\Armored Fury\Armored Fury.wak,ZH_Generals\maps.big\maps\Armored Fury\Armored Fury - Wave Diagram.png,41987,1fd7b40f5bcaf922664f0e1dc4a3a1fe0a179e24cb44e0ebdc2ee678d1d6cbb1,,
create-derivative,wak,ZH_Generals\maps.big\maps\Armored Fury\Armored Fury.wak,ZH_Generals\maps.big\maps\Armored Fury\Armored Fury - Wave Diagram.svg,18116,722960bb099de9035bbd097200bd20ad1bd6ff60d585dea47057403ffee30ed6,,
create-derivative,wak,ZH_Generals\maps.big\maps\Dark Mountain\dark mountain.wak,ZH_Generals\maps.big\maps\Dark Mountain\dark mountain - Wave Definitions.csv,21637,24eea567f87f78b1636379243122eb318d5387eaa9aeb63034a4c0b4bbd00408,,
create-derivative,wak,ZH_Generals\maps.big\maps\Dark Mountain\dark mountain.wak,ZH_Generals\maps.big\maps\Dark Mountain\dark mountain - Wave Diagram.png,44706,f5f0bdd069a5a75401876ceaf29f2c4a664c0136f1eed566f8be6b40b51b58b5,,
create-derivative,wak,ZH_Generals\maps.big\maps\Dark Mountain\dark mountain.wak,ZH_Generals\maps.big\maps\Dark Mountain\dark mountain - Wave Diagram.svg,37210,5a9f31d427f222fdac4f50c1ef4d806d60ee37eba52ccf1dbc28e5b73cac0c43,,
create-derivative,wak,ZH_Generals\maps.big\maps\Fallen Empire\fallen empire.wak,ZH_Generals\maps.big\maps\Fallen Empire\fallen empire - Wave Definitions.csv,6732,1784032d82da9cbd12bb2ddcd0a214e952fce0790575655467f1aae4b4c35e8b,,
create-derivative,wak,ZH_Generals\maps.big\maps\Fallen Empire\fallen empire.wak,ZH_Generals\maps.big\maps\Fallen Empire\fallen empire - Wave Diagram.png,40252,1dded06b3e606e23e059c33061d66eb6132942ff00f8c9de53dc871361eb753a,,
create-derivative,wak,ZH_Generals\maps.big\maps\Fallen Empire\fallen empire.wak,ZH_Generals\maps.big\maps\Fallen Empire\fallen empire - Wave Diagram.svg,14257,387bf847856f1a430a20074d7de8b59c0882a0c87ca6830fffdb168bf9566341,,
create-derivative,wak,ZH_Generals\maps.big\maps\Fortress Avalanche\fortress avalanche.wak,ZH_Generals\maps.big\maps\Fortress Avalanche\fortress avalanche - Wave Definitions.csv,13080,6cd2959297f83223e8e3f8f84fcac47c717819f5023790064a28c660db5da252,,
create-derivative,wak,ZH_Generals\maps.big\maps\Fortress Avalanche\fortress avalanche.wak,ZH_Generals\maps.big\maps\Fortress Avalanche\fortress avalanche - Wave Diagram.png,42117,aef3ad58b9f92983065301e1fd5fa149add5f17005a38621d2f59978485c5d26,,
create-derivative,wak,ZH_Generals\maps.big\maps\Fortress Avalanche\fortress avalanche.wak,ZH_Generals\maps.big\maps\Fortress Avalanche\fortress avalanche - Wave Diagram.svg,22601,9c147ca2dcbd0ebb97ceab16688c645299d251b786b9b352a68c4b4370c9c005,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Desert\tournament desert.wak,ZH_Generals\maps.big\maps\Tournament Desert\tournament desert - Wave Definitions.csv,5876,cade371c285126da32363c0353e11d4421947b1f3d859f519e73254798a66663,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Desert\tournament desert.wak,ZH_Generals\maps.big\maps\Tournament Desert\tournament desert - Wave Diagram.png,41697,d1905d60f1f0f70213457f1b542306517819c7a8acc827b64b3f71c315bddc10,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Desert\tournament desert.wak,ZH_Generals\maps.big\maps\Tournament Desert\tournament desert - Wave Diagram.svg,12325,dcc87acffab74c61d53d1f029ccb9c6f3266a5c31f1582a31b40881f3614b755,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Island\tournament island.wak,ZH_Generals\maps.big\maps\Tournament Island\tournament island - Wave Definitions.csv,30240,dec0ae56b2134ad22c8de2dc1a90d7318094ead3fecf1a4c01d12e93ee24f3e6,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Island\tournament island.wak,ZH_Generals\maps.big\maps\Tournament Island\tournament island - Wave Diagram.png,44063,7201fdb0501426573861d42993d185163c4c1c96d60b4f688ed389c479b5c9ab,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Island\tournament island.wak,ZH_Generals\maps.big\maps\Tournament Island\tournament island - Wave Diagram.svg,47583,e4ff7042f583243db5184b32fcdee05a015ebb0e42c46f28ae77bfe143aecfa7,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,ZH_Generals\maps.big\maps\Tournament Lake\tournament lake - Wave Definitions.csv,5577,f7c496b16de82bdf02937636e5baecd4ac34d2a922c489d95fd41371b6861a72,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,ZH_Generals\maps.big\maps\Tournament Lake\tournament lake - Wave Diagram.png,40018,a694efdb00482c16ccd31b4fc9097aed8622eb8fccfeada9c30a205a5f09c4de,,
create-derivative,wak,ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,ZH_Generals\maps.big\maps\Tournament Lake\tournament lake - Wave Diagram.svg,12261,d9f1cdd3d24a6d528bedea785ee2c0b23fc51a632108405e3221cf79b8825311,,
create-derivative,wak,ZH_Generals\maps.big\maps\USA04\usa04.wak,ZH_Generals\maps.big\maps\USA04\usa04 - Wave Definitions.csv,6123,dd3c1256877651692f6a351f03b73e0dcaaaa8d16dcd428f0707158e7c87cfe4,,
create-derivative,wak,ZH_Generals\maps.big\maps\USA04\usa04.wak,ZH_Generals\maps.big\maps\USA04\usa04 - Wave Diagram.png,41236,8022f34a51db5245635a6761e9c00a56ab5da6968bf8546d28f5d2040f07aaa5,,
create-derivative,wak,ZH_Generals\maps.big\maps\USA04\usa04.wak,ZH_Generals\maps.big\maps\USA04\usa04 - Wave Diagram.svg,14230,0aadf34c6717737850451b8dfb55313ce301db349084dd3abf60571aaf83683d,,
create-derivative,csf,EnglishZH.big\Data\English\generals.csf,EnglishZH.big\Data\English\Generals - Localized Strings.csv,533532,e0ccde329f1c9a75fb090684e300e26c165e7bdad6b4ebb407c0286d8f545a16,,
create-derivative,csf,EnglishZH.big\Data\English\generals.csf,EnglishZH.big\Data\English\Generals - Localized Strings.json,1121356,be4af8794f4e254c7b1dd47b2fcd672432f8274786a7ab180cc40925e05453ce,,
create-derivative,csf,W3DEnglishZH.big\Data\English\generals.csf,W3DEnglishZH.big\Data\English\Generals - Localized Strings.csv,531431,0977cb74a193fef7f646159901da4cd7df1249a7b526ee49254b3d621e45bf2e,,
create-derivative,csf,W3DEnglishZH.big\Data\English\generals.csf,W3DEnglishZH.big\Data\English\Generals - Localized Strings.json,1113919,f6fed373346e8e5e3ba2e5d6159e4c14fa07d125fada43aec89334f78b0361b8,,
create-derivative,csf,ZH_Generals\English.big\Data\English\generals.csf,ZH_Generals\English.big\Data\English\Generals - Localized Strings.csv,160746,5ea6ad83edf8f5b714fd6b556f58b9475f914da5a5b8872616e8241c73709571,,
create-derivative,csf,ZH_Generals\English.big\Data\English\generals.csf,ZH_Generals\English.big\Data\English\Generals - Localized Strings.json,418739,57aa213200310c3a381c866fe11e5b38e57c6f404a287a1c6487f48fc0d9c123,,
create-derivative,pdf,EnglishZH.big\Data\English\readme.doc,EnglishZH.big\Data\English\Command & Conquer Generals Zero Hour - Readme.pdf,22305,05e6778fedabbbe01fcb36f6d7989ba0c5b0688b8d75138109e1106387dfa4e1,,
create-derivative,pdf,W3DEnglishZH.big\Data\English\readme.doc,W3DEnglishZH.big\Data\English\Command & Conquer Generals Zero Hour - Readme.pdf,22305,08a2f0f03438d79a19b35689aaf930e0b1079a6e9b1aaccd20db8376c2f5c88d,,
create-derivative,pdf,ZH_Generals\English.big\Data\English\readme.doc,ZH_Generals\English.big\Data\English\Command & Conquer Generals - Readme.pdf,15178,974c75b7c1e60812ba7f0fd20be04390a58ebae5a5bd04493f3605215a33ca25,,
preserve-original,wak,MapsZH.big\Maps\Bombardment Beach\bombardment beach.wak,MapsZH.big\Maps\Bombardment Beach\_primitive media\bombardment beach.wak,1824,0b7f4e4f4cf27b5de39a226c829fd0404f1ff0e108629dd6ec2d89b4941f7094,,
preserve-original,wak,MapsZH.big\Maps\Flash Fire\flash fire.wak,MapsZH.big\Maps\Flash Fire\_primitive media\flash fire.wak,3084,52335fb84114b35809b57b89e61de4d908012a80343386e58b38859eb7974736,,
preserve-original,wak,MapsZH.big\Maps\GC_Stealth\gc_stealth.wak,MapsZH.big\Maps\GC_Stealth\_primitive media\gc_stealth.wak,84,26cff1378a97b709b95792fb7d9af41cabeaf2280c7a437403f1707a5d8fd3ed,,
preserve-original,wak,MapsZH.big\Maps\GC_SuperWeaponsGeneral\gc_superweaponsgeneral.wak,MapsZH.big\Maps\GC_SuperWeaponsGeneral\_primitive media\gc_superweaponsgeneral.wak,2304,36f8ba820b5be86aa12938d91e7c17c48722db27738963a2ba42c4454e30e6d1,,
preserve-original,wak,MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,MapsZH.big\Maps\Leipzig Lowlands\_primitive media\leipzig lowlands.wak,604,24adf7adcf58605c624ce7d3f83203f5507d79ddc8e56c5b3dc1d7f5ecb7b68b,,
preserve-original,wak,MapsZH.big\Maps\MD_CHI02\md_chi02.wak,MapsZH.big\Maps\MD_CHI02\_primitive media\md_chi02.wak,1064,9a9a8554cc9534cb67fbc11cda79055b89ed88fb948d1f37c2cde185999a28dc,,
preserve-original,wak,MapsZH.big\Maps\MD_CHI03\md_chi03.wak,MapsZH.big\Maps\MD_CHI03\_primitive media\md_chi03.wak,804,d16651728900fd2e1bf9fd6854044c16cd9b8a50479fc2efc8f73813f7f79c88,,
preserve-original,wak,MapsZH.big\Maps\MD_GLA03\md_gla03.wak,MapsZH.big\Maps\MD_GLA03\_primitive media\md_gla03.wak,1964,aed2895bd4c1e5fb67d5a1e5dc6d0b53559d473adfb36e696b24d1bd7162fc9a,,
preserve-original,wak,MapsZH.big\Maps\MD_GLA03_CINE\md_gla03_cine.wak,MapsZH.big\Maps\MD_GLA03_CINE\_primitive media\md_gla03_cine.wak,1964,aed2895bd4c1e5fb67d5a1e5dc6d0b53559d473adfb36e696b24d1bd7162fc9a,,
preserve-original,wak,MapsZH.big\Maps\MD_ShellMap\MD_ShellMap.wak,MapsZH.big\Maps\MD_ShellMap\_primitive media\MD_ShellMap.wak,1904,cd065ebbc252cf60ba6d3adb22af01b117e7c9e1b84996dce9d8a2b9af4a49b6,,
preserve-original,wak,MapsZH.big\Maps\MD_USA02\md_usa02.wak,MapsZH.big\Maps\MD_USA02\_primitive media\md_usa02.wak,1164,71c5e03ec88c63cb3a3d040d938016496ecbe07f5f83487f4066358b891ca44c,,
preserve-original,wak,MapsZH.big\Maps\MD_USA05\md_usa05.wak,MapsZH.big\Maps\MD_USA05\_primitive media\md_usa05.wak,1664,91be86bc5400db597781ad78cf6e439484c78279706ce17ae0da2e0eb5e8ae32,,
preserve-original,wak,MapsZH.big\Maps\Seaside Mutiny\seaside mutiny.wak,MapsZH.big\Maps\Seaside Mutiny\_primitive media\seaside mutiny.wak,1004,89c5d7e30df770fafab706f328b7366497966e64011632a262cb3862f90f5c84,,
preserve-original,wak,MapsZH.big\Maps\ShellMapMD\ShellMapMD.wak,MapsZH.big\Maps\ShellMapMD\_primitive media\ShellMapMD.wak,1904,cd065ebbc252cf60ba6d3adb22af01b117e7c9e1b84996dce9d8a2b9af4a49b6,,
preserve-original,wak,MapsZH.big\Maps\Tournament Desert\Tournament Desert.wak,MapsZH.big\Maps\Tournament Desert\_primitive media\Tournament Desert.wak,24,ee81c282d08aabecbce3feaac03627f279b600c728134780842ab4eb9211cffe,,
preserve-original,wak,MapsZH.big\Maps\TournamentA\TournamentA.wak,MapsZH.big\Maps\TournamentA\_primitive media\TournamentA.wak,6804,30ba14ce98eb68a8ba592b37724fbbeb3466becdbc4b107acaba42ee48f4dff7,,
preserve-original,wak,MapsZH.big\Maps\TournamentB\TournamentB.wak,MapsZH.big\Maps\TournamentB\_primitive media\TournamentB.wak,18424,fd897611e9f1e2ab408e4300dd72fcde28c082502df9a28986e8cb196625d903,,
preserve-original,wak,ZH_Generals\maps.big\maps\Armored Fury\Armored Fury.wak,ZH_Generals\maps.big\maps\Armored Fury\_primitive media\Armored Fury.wak,1324,35e8fcad29caf7dceb6ee9c0ab5fac94562557783619507c921851dac8f56238,,
preserve-original,wak,ZH_Generals\maps.big\maps\Dark Mountain\dark mountain.wak,ZH_Generals\maps.big\maps\Dark Mountain\_primitive media\dark mountain.wak,3104,807b025bc5a933d80448effc6f90d6e7fb0bb38bd3b9d56e2e075eb609ac7d5a,,
preserve-original,wak,ZH_Generals\maps.big\maps\Fallen Empire\fallen empire.wak,ZH_Generals\maps.big\maps\Fallen Empire\_primitive media\fallen empire.wak,964,b8d175b89846e23c1abeb101697e45f815ec33f0f5fc5e69ae8046344865dcde,,
preserve-original,wak,ZH_Generals\maps.big\maps\Fortress Avalanche\fortress avalanche.wak,ZH_Generals\maps.big\maps\Fortress Avalanche\_primitive media\fortress avalanche.wak,1744,ce883f03388fcc703f4e5546a784d6da292922fc6477e734af6adceea289f128,,
preserve-original,wak,ZH_Generals\maps.big\maps\Tournament Desert\tournament desert.wak,ZH_Generals\maps.big\maps\Tournament Desert\_primitive media\tournament desert.wak,784,8030d5e3773f3a46326bb1d872871163e706d8d4c469c1114015b109d9edf450,,
preserve-original,wak,ZH_Generals\maps.big\maps\Tournament Island\tournament island.wak,ZH_Generals\maps.big\maps\Tournament Island\_primitive media\tournament island.wak,4084,ae273f41c5f8184038cf8aadd0ea24cb253e36aad753b40aa746d5c8a7670b2f,,
preserve-original,wak,ZH_Generals\maps.big\maps\Tournament Lake\tournament lake.wak,ZH_Generals\maps.big\maps\Tournament Lake\_primitive media\tournament lake.wak,764,c934045bb005d26437c61a156a36cc2d9a17b1f43c160c82df3e39a63bb1cbc1,,
preserve-original,wak,ZH_Generals\maps.big\maps\USA04\usa04.wak,ZH_Generals\maps.big\maps\USA04\_primitive media\usa04.wak,964,e750696bfdcb36145db5ccc20742df356355660ec3d472e6a3bfc409feaf0613,,
preserve-original,csf,EnglishZH.big\Data\English\generals.csf,EnglishZH.big\Data\English\_primitive media\generals.csf,928775,8aa98b9e1b63142fb02f76a49cde8d67d3e1467ce88311ec6706e355758a189a,,
