production_number,case,source_cases,physical_number,source_path_relative,recommended_format,source_media,source_bytes,sha256,target_directory,target_media,preflight_state
11,02690--nbconyardng--ba5a618a,02690--nbconyardng--ba5a618a,1,W3DZH.big\Art\W3D\NBConYardNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02690--nbconyardng--ba5a618a\China - Base Building - Con Yard NG - NBConYardNG.gif,94544,5c3a596e1b84610f5db24b1d30d94841213abc485299a7a62c88ca8ff3928bac,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\China - Base Building - Con Yard NG - NBConYardNG.gif,new
15,04207--nbgattling--ad0f83cd,04207--nbgattling--ad0f83cd,1,"ZH_Generals\W3D.big\Art\W3D\Boss Gattling Cannon, China Gattling Cannon, Infa China Gattling Cannon, Nuke China Gattling Cannon, Tank China Gattling Cannon - NBGattling.w3d",mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04207--nbgattling--ad0f83cd\China - Base Defense - Gattling Cannon - NBGattling.mp4,61849,9366eab3aec19cc8f5668b76c176dc1a5f80a5e5c5c55d52be99baba00a359dc,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Base Defense - Gattling Cannon - NBGattling.mp4,new
16,02706--nbgattling-da1--edd0ca3a,02706--nbgattling-da1--edd0ca3a,1,W3DZH.big\Art\W3D\NBGattling_DA1.w3d,mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02706--nbgattling-da1--edd0ca3a\China - Base Defense - Gattling Cannon - NBGattling_DA1.mp4,45504,fa7e6671b36c0746e7f34aa88faea0af9f511c03410761eee2ac3d48e22ced2c,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\China - Base Defense - Gattling Cannon - NBGattling_DA1.mp4,new
17,02610--nbconyardi--c22ad099,02610--nbconyardi--c22ad099,1,W3DZH.big\Art\W3D\Infa China Command Center - NBConYardI.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02610--nbconyardi--c22ad099\China - Base Infrastructure - Command Center - NBConYardI.gif,114965,240a7919923b7e66a9828a60c23d7209054830421ace85de38c73159635fa805,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\China - Base Infrastructure - Command Center - NBConYardI.gif,new
20,02851--nvnukecnng--b49ded59,02851--nvnukecnng--b49ded59,1,W3DZH.big\Art\W3D\NVNukeCnNG.w3d,mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02851--nvnukecnng--b49ded59\China - Ground Vehicles - Nuke Cn NG - NVNukeCnNG.mp4,49729,aa8f71cd2a425895a53630a94d2ac4ec3991bb419cd78e7ae9258cade0caf60a,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\China - Ground Vehicles - Nuke Cn NG - NVNukeCnNG.mp4,new
21,05813--nvnukecn--8d2580e7,05813--nvnukecn--8d2580e7,1,"ZH_Generals\W3D.big\Art\W3D\China Vehicle Nuke Launcher, CINE China Vehicle Nuke Launcher, Infa China Vehicle Nuke Launcher, Nuke China Vehicle Nuke Launcher - NVNukeCn.w3d",mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05813--nvnukecn--8d2580e7\China - Ground Vehicles - Nuke Launcher - NVNukeCn.mp4,46292,70bd13284c2c9351a7f04079379d64e34796e9667bda5189e5ab4b60fa975490,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Ground Vehicles - Nuke Launcher - NVNukeCn.mp4,new
22,00286--nbairfield--f61c96aa,00286--nbairfield--f61c96aa,1,"W3DZH.big\Art\W3D\Boss Airfield, China Airfield, Infa China Airfield, Nuke China Airfield, Tank China Airfield - NBAirfield.w3d",gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00286--nbairfield--f61c96aa\China - Production Building - Airfield - NBAirfield.gif,107686,8216a2f9498a6542fa684fdb351872a862fdd8ab14b352084bab2096941ae75c,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\China - Production Building - Airfield - NBAirfield.gif,new
24,05798--nbpcenter--109eb432,05798--nbpcenter--109eb432,1,"ZH_Generals\W3D.big\Art\W3D\China Propaganda Center, Infa China Propaganda Center, Nuke China Propaganda Center, Tank China Propaganda Center - NBPCenter.w3d",gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05798--nbpcenter--109eb432\China - Technology Building - Propaganda Center - NBPCenter.gif,66073,a5fee5bafed61fca8d44053334c696dfa54c7e5d5fa79015c4455cb0b03fcafa,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\China - Technology Building - Propaganda Center - NBPCenter.gif,new
25,04902--cbngovbuil-g--a11b472d,04902--cbngovbuil-g--a11b472d,1,ZH_Generals\W3D.big\Art\W3D\CBNGovBuil_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04902--cbngovbuil-g--a11b472d\Civilian - Civilian Building - Asia Government Building - CBNGovBuil_G.gif,62121,8c4c25a36fc9f61df7acf2e601e4b91949d48fd2a67110146453d769fb91e1f7,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Asia Government Building - CBNGovBuil_G.gif,new
26,05032--cbntbuil-g--8efe510e,05032--cbntbuil-g--8efe510e,1,ZH_Generals\W3D.big\Art\W3D\CBNTbuil_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05032--cbntbuil-g--8efe510e\Civilian - Civilian Building - Asia Town Hall 01 - CBNTbuil_G.gif,73579,6183ffbd6b55febad8140a3fa84b59fdc215fcc49a07f3f45671f4b197578e3c,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Asia Town Hall 01 - CBNTbuil_G.gif,new
27,04780--cbnarcade-g--b5ebf106,04780--cbnarcade-g--b5ebf106,1,ZH_Generals\W3D.big\Art\W3D\CBNArcade_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04780--cbnarcade-g--b5ebf106\Civilian - Civilian Building - Asian Arcade - CBNArcade_G.gif,95893,8e6cec30c05fbce10212625831b3f19015261c3075ffe8e9429ef8aaaf85437a,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Asian Arcade - CBNArcade_G.gif,new
28,04858--cbndealers-g--0b2b5f05,04858--cbndealers-g--0b2b5f05,1,ZH_Generals\W3D.big\Art\W3D\CBNDealerS_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04858--cbndealers-g--0b2b5f05\Civilian - Civilian Building - Asian Dealership - CBNDealerS_G.gif,241019,3d419b38b5cf956a70f92c1ace940914f87f0852c91b441380b1688d8ae0dcdd,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Asian Dealership - CBNDealerS_G.gif,new
29,04936--cbniteclub-g--c8d5cfeb,04936--cbniteclub-g--c8d5cfeb,1,ZH_Generals\W3D.big\Art\W3D\CBNiteClub_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04936--cbniteclub-g--c8d5cfeb\Civilian - Civilian Building - Asian Night Club - CBNiteClub_G.gif,67400,93b7f3352e2cc4972e78c58e5ad102a91ddb3f794e4b57d729c5780135c64d65,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Asian Night Club - CBNiteClub_G.gif,new
30,04952--cbnoffice1-g--3e1eaced,04952--cbnoffice1-g--3e1eaced,1,ZH_Generals\W3D.big\Art\W3D\CBNOffice1_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04952--cbnoffice1-g--3e1eaced\Civilian - Civilian Building - Asian Office 01 - CBNOffice1_G.gif,56228,c9be09a2b2bf3d5f0ff77b21707837599ac4bafbf159a68e9b49594f355eda39,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Asian Office 01 - CBNOffice1_G.gif,new
31,04916--cbnhongk03-g--b6f54336,04916--cbnhongk03-g--b6f54336,1,ZH_Generals\W3D.big\Art\W3D\CBNHongK03_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04916--cbnhongk03-g--b6f54336\Civilian - Civilian Building - Asian Office 02 - CBNHongK03_G.gif,48456,d8bcd78ce8fbf06c5f234bf5994a32d9e867e9b97f7e3921e3efbd778cc61888,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Asian Office 02 - CBNHongK03_G.gif,new
32,04906--cbnhongk01-g--caf4b956,04906--cbnhongk01-g--caf4b956,1,ZH_Generals\W3D.big\Art\W3D\CBNHongK01_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04906--cbnhongk01-g--caf4b956\Civilian - Civilian Building - Asian Sky Scraper 01 - CBNHongK01_G.gif,22809,e90eb332ab4d2868281e4f3bd8da56fe8fec78ed098d16d49b20784f25d503b4,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Asian Sky Scraper 01 - CBNHongK01_G.gif,new
35,00353--cbbaikgrnd-g--77decee7,00353--cbbaikgrnd-g--77decee7,1,W3DZH.big\Art\W3D\CBBaikGrnd_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00353--cbbaikgrnd-g--77decee7\Civilian - Civilian Building - Baikonur Ground Control Center - CBBaikGrnd_g.gif,26106,b689f43bee877eaa92cf0fe46e7bbf8d9782cd0add288d371a916dfbfbcf0849,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Baikonur Ground Control Center - CBBaikGrnd_g.gif,new
37,04802--cbnbarncoo-g--2b4769e2,04802--cbnbarncoo-g--2b4769e2,1,ZH_Generals\W3D.big\Art\W3D\CBNBarnCoo_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04802--cbnbarncoo-g--2b4769e2\Civilian - Civilian Building - Barn Coop - CBNBarnCoo_g.gif,77965,aea71624a5b4a84475bb427c47167ca2481cdf6875ba80e85ba0f8b24db05721,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Barn Coop - CBNBarnCoo_g.gif,new
38,00413--cbbrnshed-dng--7eb813a6,00413--cbbrnshed-dng--7eb813a6,1,W3DZH.big\Art\W3D\CBBrnShed_dng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00413--cbbrnshed-dng--7eb813a6\Civilian - Civilian Building - Barn Shed - CBBrnShed_dng.gif,54371,d37f12a11562ff4de26b00c4c26ba93ac5d57c206d3c993b0b859f88ec0c152e,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Barn Shed - CBBrnShed_dng.gif,new
43,00427--cbbunker01-dsg--5a4cdd30,00427--cbbunker01-dsg--5a4cdd30,1,W3DZH.big\Art\W3D\CBBunker01_DSG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00427--cbbunker01-dsg--5a4cdd30\Civilian - Civilian Building - Bunker 01 - CBBunker01_DSG.gif,61790,4765edbe3f147de088d6be06bfdc996d45240afb175eafdc94c24a785bc385db,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Bunker 01 - CBBunker01_DSG.gif,new
44,00440--cbbypasboy--254c8b2d,00440--cbbypasboy--254c8b2d,1,W3DZH.big\Art\W3D\CBBypasBoy.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00440--cbbypasboy--254c8b2d\Civilian - Civilian Building - Bypas Boy - CBBypasBoy.gif,78204,313a6c69920fe1959788b301f3498820e6f819b8c9340f1b9328124700286345,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Bypas Boy - CBBypasBoy.gif,new
45,02344--cine-cplane--7de4a88b,02344--cine-cplane--7de4a88b,1,W3DZH.big\Art\W3D\CINE C Plane - CINE_CPlane.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02344--cine-cplane--7de4a88b\Civilian - Civilian Building - C Plane - CINE_CPlane.gif,306427,4fb98291bca831d49a30ad0e4f010abae1311a5ea20cf5fee7c474f85f1b491e,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - C Plane - CINE_CPlane.gif,new
46,02346--cine-cplane03--b2666422,02346--cine-cplane03--b2666422,1,W3DZH.big\Art\W3D\CINE C Plane 03 - CINE_CPlane03.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02346--cine-cplane03--b2666422\Civilian - Civilian Building - C Plane 03 - CINE_CPlane03.gif,292757,8b1ecf7449aa16ff1779e419bef2996e8003b1aa7eaf1ee8499d6225454795ea,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - C Plane 03 - CINE_CPlane03.gif,new
47,00719--cbgerbl01-dg--a4e6f138,00719--cbgerbl01-dg--a4e6f138,1,W3DZH.big\Art\W3D\CBGerbl01_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00719--cbgerbl01-dg--a4e6f138\Civilian - Civilian Building - CB Gerbl 01 - CBGerbl01_DG.gif,59450,d4308f5304dbd00b493542b92f5ace0fd69f083d51025daf10c4b98c0e19feb7,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - CB Gerbl 01 - CBGerbl01_DG.gif,new
48,00726--cbgerbl02-g--1a72867d,00726--cbgerbl02-g--1a72867d,1,W3DZH.big\Art\W3D\CBGerbl02_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00726--cbgerbl02-g--1a72867d\Civilian - Civilian Building - CB Gerbl 02 - CBGerbl02_G.gif,65515,952973217989f88833321cf206ebd59c894365b1c0efec980dbeb2fcd5708ba7,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - CB Gerbl 02 - CBGerbl02_G.gif,new
49,00729--cbgerbl03-dg--a4b4216c,00729--cbgerbl03-dg--a4b4216c,1,W3DZH.big\Art\W3D\CBGerbl03_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00729--cbgerbl03-dg--a4b4216c\Civilian - Civilian Building - CB Gerbl 03 - CBGerbl03_DG.gif,50520,74e2c600ab5f0003f1d483dc855d435eedaeaa9db548b75e5b1ab410b8f21c95,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - CB Gerbl 03 - CBGerbl03_DG.gif,new
50,00734--cbgerbl04-dg--a0692671,00734--cbgerbl04-dg--a0692671,1,W3DZH.big\Art\W3D\CBGerbl04_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00734--cbgerbl04-dg--a0692671\Civilian - Civilian Building - CB Gerbl 04 - CBGerbl04_DG.gif,36455,dd1bb39d89a74da2a970cf324353afae5e36bcc86cec47e8cdb415097dc3c6a5,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - CB Gerbl 04 - CBGerbl04_DG.gif,new
51,00741--cbgerbl05-g--2c894b95,00741--cbgerbl05-g--2c894b95,1,W3DZH.big\Art\W3D\CBGerbl05_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00741--cbgerbl05-g--2c894b95\Civilian - Civilian Building - CB Gerbl 05 - CBGerbl05_G.gif,40943,3471fd2847f69adb7160c8a19286897f493b2b8e31007c24a931bd3892095610,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - CB Gerbl 05 - CBGerbl05_G.gif,new
52,00746--cbgerbl06-g--4bfbc970,00746--cbgerbl06-g--4bfbc970,1,W3DZH.big\Art\W3D\CBGerbl06_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00746--cbgerbl06-g--4bfbc970\Civilian - Civilian Building - CB Gerbl 06 - CBGerbl06_G.gif,90911,29ad469ad239e961cdf3e2528e33a50c75a25dd2c8fcdd605fec5320d369e7bb,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - CB Gerbl 06 - CBGerbl06_G.gif,new
53,01548--cbnukea-g--1dc563c3,01548--cbnukea-g--1dc563c3,1,W3DZH.big\Art\W3D\CBNUKEA_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01548--cbnukea-g--1dc563c3\Civilian - Civilian Building - CB Nuke A - CBNUKEA_G.gif,29604,09e86de1db26d32fbdeec81122ef23586ace3d114f9da2afbc49be6208de2c36,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - CB Nuke A - CBNUKEA_G.gif,new
54,01562--cbnukec-g--b789c8a1,01562--cbnukec-g--b789c8a1,1,W3DZH.big\Art\W3D\CBNUKEC_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01562--cbnukec-g--b789c8a1\Civilian - Civilian Building - CB Nuke C - CBNUKEC_G.gif,45873,1007b0403845841a1424b363d4227c9f268ab8853676c30e3f7db1408e9b5cfd,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - CB Nuke C - CBNUKEC_G.gif,new
55,00477--cbchalet-dng--c49801ec,00477--cbchalet-dng--c49801ec,1,W3DZH.big\Art\W3D\CBChalet_dng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00477--cbchalet-dng--c49801ec\Civilian - Civilian Building - Chalet - CBChalet_dng.gif,35290,60ad89707b864cdc5a9314c380b63ef6514fabcb4324fa3c40dbe7d9293257ef,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Chalet - CBChalet_dng.gif,new
