case,source_path_relative,faction_or_context,functional_family,descriptive_asset_name,canonical_stem,conversion_status,automatic_image_gate,final_decision,final_decision_reason,glb_round_trip_valid,glb,contact_sheet
00011--abbtcmdhqa-dn--bf1a6c04,W3DZH.big\Art\W3D\ABBtCmdHQA_DN.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_DN,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00011--abbtcmdhqa-dn--bf1a6c04\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00011--abbtcmdhqa-dn--bf1a6c04\four-view.png
00012--abbtcmdhqa-dns--87066faf,W3DZH.big\Art\W3D\ABBtCmdHQA_DNS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_DNS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00012--abbtcmdhqa-dns--87066faf\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00012--abbtcmdhqa-dns--87066faf\four-view.png
00013--abbtcmdhqa-ds--0ec72389,W3DZH.big\Art\W3D\ABBtCmdHQA_DS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_DS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00013--abbtcmdhqa-ds--0ec72389\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00013--abbtcmdhqa-ds--0ec72389\four-view.png
00014--abbtcmdhqa-e--e203eb05,W3DZH.big\Art\W3D\ABBtCmdHQA_E.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_E,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00014--abbtcmdhqa-e--e203eb05\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00014--abbtcmdhqa-e--e203eb05\four-view.png
00015--abbtcmdhqa-en--e79df2ec,W3DZH.big\Art\W3D\ABBtCmdHQA_EN.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_EN,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00015--abbtcmdhqa-en--e79df2ec\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00015--abbtcmdhqa-en--e79df2ec\four-view.png
00016--abbtcmdhqa-ens--d4ab6c41,W3DZH.big\Art\W3D\ABBtCmdHQA_ENS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_ENS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00016--abbtcmdhqa-ens--d4ab6c41\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00016--abbtcmdhqa-ens--d4ab6c41\four-view.png
00017--abbtcmdhqa-es--2ed080f2,W3DZH.big\Art\W3D\ABBtCmdHQA_ES.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_ES,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00017--abbtcmdhqa-es--2ed080f2\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00017--abbtcmdhqa-es--2ed080f2\four-view.png
00018--abbtcmdhqa-n--a67d8e81,W3DZH.big\Art\W3D\ABBtCmdHQA_N.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_N,error,rejected,rejected,Rejected: W3D importer failed; no usable derivative was produced.,False,,
00019--abbtcmdhqa-ns--799ed7d4,W3DZH.big\Art\W3D\ABBtCmdHQA_NS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_NS,error,rejected,rejected,Rejected: W3D importer failed; no usable derivative was produced.,False,,
00020--abbtcmdhqa-s--c46f017f,W3DZH.big\Art\W3D\ABBtCmdHQA_S.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQA_S,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00020--abbtcmdhqa-s--c46f017f\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00020--abbtcmdhqa-s--c46f017f\four-view.png
00021--abbtcmdhql-d--24b0d379,W3DZH.big\Art\W3D\ABBtCmdHQL_D.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_D,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00021--abbtcmdhql-d--24b0d379\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00021--abbtcmdhql-d--24b0d379\four-view.png
00022--abbtcmdhql-dn--a3db22d1,W3DZH.big\Art\W3D\ABBtCmdHQL_DN.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_DN,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00022--abbtcmdhql-dn--a3db22d1\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00022--abbtcmdhql-dn--a3db22d1\four-view.png
00023--abbtcmdhql-dns--c99d4c52,W3DZH.big\Art\W3D\ABBtCmdHQL_DNS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_DNS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00023--abbtcmdhql-dns--c99d4c52\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00023--abbtcmdhql-dns--c99d4c52\four-view.png
00024--abbtcmdhql-ds--72fd1b02,W3DZH.big\Art\W3D\ABBtCmdHQL_DS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_DS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00024--abbtcmdhql-ds--72fd1b02\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00024--abbtcmdhql-ds--72fd1b02\four-view.png
00025--abbtcmdhql-e--edc0a70f,W3DZH.big\Art\W3D\ABBtCmdHQL_E.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_E,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00025--abbtcmdhql-e--edc0a70f\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00025--abbtcmdhql-e--edc0a70f\four-view.png
00026--abbtcmdhql-en--4a893752,W3DZH.big\Art\W3D\ABBtCmdHQL_EN.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_EN,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00026--abbtcmdhql-en--4a893752\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00026--abbtcmdhql-en--4a893752\four-view.png
00027--abbtcmdhql-ens--26e8ae18,W3DZH.big\Art\W3D\ABBtCmdHQL_ENS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_ENS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00027--abbtcmdhql-ens--26e8ae18\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00027--abbtcmdhql-ens--26e8ae18\four-view.png
00028--abbtcmdhql-es--2cd7cc7c,W3DZH.big\Art\W3D\ABBtCmdHQL_ES.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_ES,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00028--abbtcmdhql-es--2cd7cc7c\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00028--abbtcmdhql-es--2cd7cc7c\four-view.png
00029--abbtcmdhql-n--b5d94df7,W3DZH.big\Art\W3D\ABBtCmdHQL_N.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_N,error,rejected,rejected,Rejected: W3D importer failed; no usable derivative was produced.,False,,
00030--abbtcmdhql-ns--0aa085d9,W3DZH.big\Art\W3D\ABBtCmdHQL_NS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_NS,error,rejected,rejected,Rejected: W3D importer failed; no usable derivative was produced.,False,,
00031--abbtcmdhql-s--4d1e8184,W3DZH.big\Art\W3D\ABBtCmdHQL_S.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQL_S,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00031--abbtcmdhql-s--4d1e8184\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00031--abbtcmdhql-s--4d1e8184\four-view.png
00032--abbtcmdhqs-d--510cf35a,W3DZH.big\Art\W3D\ABBtCmdHQS_D.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_D,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00032--abbtcmdhqs-d--510cf35a\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00032--abbtcmdhqs-d--510cf35a\four-view.png
00033--abbtcmdhqs-dn--868e3fc4,W3DZH.big\Art\W3D\ABBtCmdHQS_DN.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_DN,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00033--abbtcmdhqs-dn--868e3fc4\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00033--abbtcmdhqs-dn--868e3fc4\four-view.png
00034--abbtcmdhqs-dns--3979d8d7,W3DZH.big\Art\W3D\ABBtCmdHQS_DNS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_DNS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00034--abbtcmdhqs-dns--3979d8d7\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00034--abbtcmdhqs-dns--3979d8d7\four-view.png
00035--abbtcmdhqs-ds--a38b0922,W3DZH.big\Art\W3D\ABBtCmdHQS_DS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_DS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00035--abbtcmdhqs-ds--a38b0922\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00035--abbtcmdhqs-ds--a38b0922\four-view.png
00036--abbtcmdhqs-e--ced9d5e5,W3DZH.big\Art\W3D\ABBtCmdHQS_E.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_E,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00036--abbtcmdhqs-e--ced9d5e5\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00036--abbtcmdhqs-e--ced9d5e5\four-view.png
00037--abbtcmdhqs-en--7ae64e3c,W3DZH.big\Art\W3D\ABBtCmdHQS_EN.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_EN,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00037--abbtcmdhqs-en--7ae64e3c\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00037--abbtcmdhqs-en--7ae64e3c\four-view.png
00038--abbtcmdhqs-ens--dad7b7b2,W3DZH.big\Art\W3D\ABBtCmdHQS_ENS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_ENS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00038--abbtcmdhqs-ens--dad7b7b2\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00038--abbtcmdhqs-ens--dad7b7b2\four-view.png
00039--abbtcmdhqs-es--25a8aa05,W3DZH.big\Art\W3D\ABBtCmdHQS_ES.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_ES,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00039--abbtcmdhqs-es--25a8aa05\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00039--abbtcmdhqs-es--25a8aa05\four-view.png
00040--abbtcmdhqs-n--667dc5ac,W3DZH.big\Art\W3D\ABBtCmdHQS_N.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_N,error,rejected,rejected,Rejected: W3D importer failed; no usable derivative was produced.,False,,
00041--abbtcmdhqs-ns--40915671,W3DZH.big\Art\W3D\ABBtCmdHQS_NS.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_NS,error,rejected,rejected,Rejected: W3D importer failed; no usable derivative was produced.,False,,
00042--abbtcmdhqs-s--e65ed975,W3DZH.big\Art\W3D\ABBtCmdHQS_S.w3d,USA,Base Infrastructure,Command Center,ABBtCmdHQS_S,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00042--abbtcmdhqs-s--e65ed975\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00042--abbtcmdhqs-s--e65ed975\four-view.png
00043--abbtcmdrlg--b19a9bb2,W3DZH.big\Art\W3D\AbbtCmdrLG.w3d,USA,Base Building,bt Cmdr LG,AbbtCmdrLG,rendered,needs-review,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00043--abbtcmdrlg--b19a9bb2\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00043--abbtcmdrlg--b19a9bb2\four-view.png
00044--abbtcmdswg--41855822,W3DZH.big\Art\W3D\ABBtCmdSWG.w3d,USA,Base Building,Bt Cmd SWG,ABBtCmdSWG,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00044--abbtcmdswg--41855822\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00044--abbtcmdswg--41855822\four-view.png
00045--abdetcamp--5a4df802,W3DZH.big\Art\W3D\ABDetCamp.w3d,USA,Base Building,Det Camp,ABDetCamp,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00045--abdetcamp--5a4df802\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00045--abdetcamp--5a4df802\four-view.png
00046--abempcann--afea5a9d,W3DZH.big\Art\W3D\ABEMPCann.w3d,USA,Base Building,EMP Cann,ABEMPCann,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00046--abempcann--afea5a9d\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00046--abempcann--afea5a9d\four-view.png
00047--abfirebase-d--9b3f0645,W3DZH.big\Art\W3D\ABFIREBASE_D.w3d,USA,Base Defense,Fire Base,ABFIREBASE_D,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00047--abfirebase-d--9b3f0645\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00047--abfirebase-d--9b3f0645\four-view.png
00048--abfirebase-ds--bd520a49,W3DZH.big\Art\W3D\ABFIREBASE_DS.w3d,USA,Base Defense,Fire Base,ABFIREBASE_DS,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00048--abfirebase-ds--bd520a49\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00048--abfirebase-ds--bd520a49\four-view.png
00049--abfirebase-e--b4053fd8,W3DZH.big\Art\W3D\ABFIREBASE_E.w3d,USA,Base Defense,Fire Base,ABFIREBASE_E,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00049--abfirebase-e--b4053fd8\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00049--abfirebase-e--b4053fd8\four-view.png
00050--abfirebase-es--88e3aa6c,W3DZH.big\Art\W3D\ABFIREBASE_ES.w3d,USA,Base Defense,Fire Base,ABFIREBASE_ES,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00050--abfirebase-es--88e3aa6c\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00050--abfirebase-es--88e3aa6c\four-view.png
00051--abfirebase-s--a83c221a,W3DZH.big\Art\W3D\ABFIREBASE_S.w3d,USA,Base Defense,Fire Base,ABFIREBASE_S,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00051--abfirebase-s--a83c221a\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00051--abfirebase-s--a83c221a\four-view.png
00052--abgdctower--a3b02160,W3DZH.big\Art\W3D\ABGDCTower.w3d,USA,Base Building,GDC Tower,ABGDCTower,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00052--abgdctower--a3b02160\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00052--abgdctower--a3b02160\four-view.png
00053--abgdctower-d--e9deedf6,W3DZH.big\Art\W3D\ABGDCTower_D.w3d,USA,Base Building,GDC Tower,ABGDCTower_D,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00053--abgdctower-d--e9deedf6\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00053--abgdctower-d--e9deedf6\four-view.png
00054--ablasertrt-d--e9d81732,W3DZH.big\Art\W3D\ABLaserTrt_D.w3d,USA,Base Defense,Patriot Battery,ABLaserTrt_D,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00054--ablasertrt-d--e9d81732\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00054--ablasertrt-d--e9d81732\four-view.png
00055--ablasertrt-e--ab5ec6aa,W3DZH.big\Art\W3D\ABLaserTrt_E.w3d,USA,Base Defense,Patriot Battery,ABLaserTrt_E,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00055--ablasertrt-e--ab5ec6aa\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00055--ablasertrt-e--ab5ec6aa\four-view.png
00056--abnukesilo-a2--3bd05a62,W3DZH.big\Art\W3D\ABNukeSilo_A2.w3d,USA,Superweapon,Cruise Missile Launcher,ABNukeSilo_A2,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00056--abnukesilo-a2--3bd05a62\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00056--abnukesilo-a2--3bd05a62\four-view.png
00057--abnukesilo-a2d--255fc182,W3DZH.big\Art\W3D\ABNukeSilo_A2D.w3d,USA,Superweapon,Cruise Missile Launcher,ABNukeSilo_A2D,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00057--abnukesilo-a2d--255fc182\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00057--abnukesilo-a2d--255fc182\four-view.png
00058--abnukesilo-a2e--2ffb238e,W3DZH.big\Art\W3D\ABNukeSilo_A2E.w3d,USA,Superweapon,Cruise Missile Launcher,ABNukeSilo_A2E,rendered,accepted,accepted,Accepted: automatic image gate passed and GLB round-trip validation succeeded.,True,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00058--abnukesilo-a2e--2ffb238e\model.glb,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00058--abnukesilo-a2e--2ffb238e\four-view.png
