record_id,source_kind,source_container,source_path,original_rel,original_name,original_base,extension,size,offset,description,mapping_sources,taxonomy_faction,taxonomy_function,taxonomy_context,taxonomy_sequence,taxonomy_source,voice_candidate,conversion,raw_output,converted_output,final_output,transcript,transcript_confidence,transcript_accepted,status,notes
7925c37adc740eb6,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmmu1d.wav,addmmu1d.wav,addmmu1d,.wav,180600,1273116,Amb Desert Market Walla Music Loop - 04,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Music Loop,04,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmmu1d.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 04 - addmmu1d.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 04 - addmmu1d.mp3,English-language military unit voice line,0.7879,False,planned,
9437512431850c0e,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmmu1e.wav,addmmu1e.wav,addmmu1e,.wav,158516,1453716,Amb Desert Market Walla Music Loop - 05,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Music Loop,05,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmmu1e.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 05 - addmmu1e.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 05 - Music - addmmu1e.mp3,Music,0.8026,True,transcribed,
4d68dc38bb17d651,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmmu1f.wav,addmmu1f.wav,addmmu1f,.wav,95024,1612232,Amb Desert Market Walla Music Loop - 06,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Music Loop,06,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmmu1f.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 06 - addmmu1f.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 06 - addmmu1f.mp3,English-language military unit voice line,0.7796,False,planned,
dec3770d66b48619,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmmu1g.wav,addmmu1g.wav,addmmu1g,.wav,141952,1707256,Amb Desert Market Walla Music Loop - 07,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Music Loop,07,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmmu1g.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 07 - addmmu1g.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Music Loop - 07 - addmmu1g.mp3,English-language military unit voice line,0.8166,False,planned,
4b88fef4e1e1c6d0,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1a.wav,addmwl1a.wav,addmwl1a,.wav,210856,1849208,Amb Desert Market Walla Loop - 01,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Loop,01,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1a.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 01 - addmwl1a.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 01 - addmwl1a.mp3,,0.7299,False,planned,
ccfcd7017f604846,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1b.wav,addmwl1b.wav,addmwl1b,.wav,128688,2060064,Amb Desert Market Walla Loop - 02,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Loop,02,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1b.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 02 - addmwl1b.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 02 - addmwl1b.mp3,I got my face and your face,0.464,False,planned,
a95d188f5b331e78,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1c.wav,addmwl1c.wav,addmwl1c,.wav,144136,2188752,Amb Desert Market Walla Loop - 03,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Loop,03,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1c.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 03 - addmwl1c.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 03 - addmwl1c.mp3,Let's go,0.4869,False,planned,
9c7738882a3bae51,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1d.wav,addmwl1d.wav,addmwl1d,.wav,199094,2332888,Amb Desert Market Walla Loop - 04,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Loop,04,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1d.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 04 - addmwl1d.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 04 - addmwl1d.mp3,English-language military unit voice line,0.7917,False,planned,
a65cb78b8a9a5266,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1e.wav,addmwl1e.wav,addmwl1e,.wav,190536,2531984,Amb Desert Market Walla Loop - 05,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Loop,05,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1e.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 05 - addmwl1e.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 05 - addmwl1e.mp3,English-language military unit voice line,0.7974,False,planned,
ec0e4ad4d9c31a15,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1f.wav,addmwl1f.wav,addmwl1f,.wav,181554,2722520,Amb Desert Market Walla Loop - 06,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Loop,06,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1f.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 06 - addmwl1f.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 06 - addmwl1f.mp3,English-language military unit voice line,0.767,False,planned,
c9bd04cb3fd81d5f,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1g.wav,addmwl1g.wav,addmwl1g,.wav,157142,2904076,Amb Desert Market Walla Loop - 07,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Loop,07,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1g.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 07 - addmwl1g.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 07 - addmwl1g.mp3,English-language military unit voice line,0.7986,False,planned,
493a611735a6fc6c,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1h.wav,addmwl1h.wav,addmwl1h,.wav,154010,3061220,Amb Desert Market Walla Loop - 08,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Loop,08,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1h.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 08 - addmwl1h.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Loop - 08 - addmwl1h.mp3,English-language military unit voice line,0.7931,False,planned,
46fd51b72d9e0434,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwl1i.wav,addmwl1i.wav,addmwl1i,.wav,206290,3215232,,,Shared,Sound Effect,addmwl 1 i,,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwl1i.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Sound Effect - addmwl 1 i - addmwl1i.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Sound Effect - addmwl 1 i - addmwl1i.mp3,English-language military unit voice line,0.7621,False,planned,
a1cd5e9aefc4d3db,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwo1a.wav,addmwo1a.wav,addmwo1a,.wav,132422,3421524,Amb Desert Market Walla Women Loop - 01,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Women Loop,01,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwo1a.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Women Loop - 01 - addmwo1a.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Women Loop - 01 - It's a very good idea - addmwo1a.mp3,It's a very good idea,0.8467,True,transcribed,
855e3ca52acb1acd,big,AudioEnglishZH.big,C:\Program Files (x86)\Steam\steamapps\common\Command & Conquer Generals - Zero Hour\AudioEnglishZH.big,Data\Audio\Sounds\English\addmwo1b.wav,addmwo1b.wav,addmwo1b,.wav,223904,3553948,Amb Desert Market Walla Women Loop - 02,INIZH.big::Data\INI\SoundEffects.ini | ZH_Generals\INI.big::Data\INI\SoundEffects.ini | ZH_Generals\SoundEffects.ini,Shared,Ambient Audio,Amb Desert Market Walla Women Loop,02,No single faction supported,True,.wav->.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\_primitive media\Data\Audio\Sounds\English\addmwo1b.wav,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Women Loop - 02 - addmwo1b.mp3,C:\Users\Jeff\My Drive\Games\Generals\Big Extraction\AudioEnglishZH.big\Data\Audio\Sounds\English\Shared - Ambient Audio - Amb Desert Market Walla Women Loop - 02 - addmwo1b.mp3,English-language military unit voice line,0.7556,False,planned,
