production_number,case,source_path_relative,faction_or_context,functional_family,descriptive_asset_name,canonical_stem,rendered_format,review_decision,recommended_format,review_notes,rendered_media,recommended_media,reused_reviewed_pilot
11,02690--nbconyardng--ba5a618a,W3DZH.big\Art\W3D\NBConYardNG.w3d,China,Base Building,Con Yard NG,NBConYardNG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02690--nbconyardng--ba5a618a\China - Base Building - Con Yard NG - NBConYardNG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02690--nbconyardng--ba5a618a\China - Base Building - Con Yard NG - NBConYardNG.gif,False
12,02758--nbintcnt-af--288438e0,W3DZH.big\Art\W3D\NBIntCnt_AF.w3d,China,Base Building,Internet Center,NBIntCnt_AF,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02758--nbintcnt-af--288438e0\China - Base Building - Internet Center - NBIntCnt_AF.gif,,False
13,06400--nbptower-a4sn--c84c6b7c,ZH_Generals\W3D.big\Art\W3D\NBPTower_A4SN.w3d,China,Base Building,Speaker Tower,NBPTower_A4SN,gif,reject,,incomplete construction state or placeholder material,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06400--nbptower-a4sn--c84c6b7c\China - Base Building - Speaker Tower - NBPTower_A4SN.gif,,False
14,02806--nbweapfactmk--bed2fc43,W3DZH.big\Art\W3D\NBWeapFactMK.w3d,China,Base Building,Weap Fact MK,NBWeapFactMK,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02806--nbweapfactmk--bed2fc43\China - Base Building - Weap Fact MK - NBWeapFactMK.gif,,False
15,04207--nbgattling--ad0f83cd,"ZH_Generals\W3D.big\Art\W3D\Boss Gattling Cannon, China Gattling Cannon, Infa China Gattling Cannon, Nuke China Gattling Cannon, Tank China Gattling Cannon - NBGattling.w3d",China,Base Defense,Gattling Cannon,NBGattling,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04207--nbgattling--ad0f83cd\China - Base Defense - Gattling Cannon - NBGattling.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04207--nbgattling--ad0f83cd\China - Base Defense - Gattling Cannon - NBGattling.mp4,True
16,02706--nbgattling-da1--edd0ca3a,W3DZH.big\Art\W3D\NBGattling_DA1.w3d,China,Base Defense,Gattling Cannon,NBGattling_DA1,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02706--nbgattling-da1--edd0ca3a\China - Base Defense - Gattling Cannon - NBGattling_DA1.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02706--nbgattling-da1--edd0ca3a\China - Base Defense - Gattling Cannon - NBGattling_DA1.mp4,True
17,02610--nbconyardi--c22ad099,W3DZH.big\Art\W3D\Infa China Command Center - NBConYardI.w3d,China,Base Infrastructure,Command Center,NBConYardI,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02610--nbconyardi--c22ad099\China - Base Infrastructure - Command Center - NBConYardI.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02610--nbconyardi--c22ad099\China - Base Infrastructure - Command Center - NBConYardI.gif,True
18,06427--nbpwrplant-a4sn--aebd057b,ZH_Generals\W3D.big\Art\W3D\NBPwrPlant_A4SN.w3d,China,Base Infrastructure,Power Plant,NBPwrPlant_A4SN,gif,reject,,incomplete construction state or placeholder material,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06427--nbpwrplant-a4sn--aebd057b\China - Base Infrastructure - Power Plant - NBPwrPlant_A4SN.gif,,False
19,06454--nbsupcent-a4sn--b67b733f,ZH_Generals\W3D.big\Art\W3D\NBSupCent_A4SN.w3d,China,Base Infrastructure,Supply Center,NBSupCent_A4SN,gif,reject,,incomplete construction state or placeholder material,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06454--nbsupcent-a4sn--b67b733f\China - Base Infrastructure - Supply Center - NBSupCent_A4SN.gif,,False
20,02851--nvnukecnng--b49ded59,W3DZH.big\Art\W3D\NVNukeCnNG.w3d,China,Ground Vehicles,Nuke Cn NG,NVNukeCnNG,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02851--nvnukecnng--b49ded59\China - Ground Vehicles - Nuke Cn NG - NVNukeCnNG.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02851--nvnukecnng--b49ded59\China - Ground Vehicles - Nuke Cn NG - NVNukeCnNG.mp4,True
21,05813--nvnukecn--8d2580e7,"ZH_Generals\W3D.big\Art\W3D\China Vehicle Nuke Launcher, CINE China Vehicle Nuke Launcher, Infa China Vehicle Nuke Launcher, Nuke China Vehicle Nuke Launcher - NVNukeCn.w3d",China,Ground Vehicles,Nuke Launcher,NVNukeCn,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05813--nvnukecn--8d2580e7\China - Ground Vehicles - Nuke Launcher - NVNukeCn.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05813--nvnukecn--8d2580e7\China - Ground Vehicles - Nuke Launcher - NVNukeCn.mp4,True
22,00286--nbairfield--f61c96aa,"W3DZH.big\Art\W3D\Boss Airfield, China Airfield, Infa China Airfield, Nuke China Airfield, Tank China Airfield - NBAirfield.w3d",China,Production Building,Airfield,NBAirfield,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00286--nbairfield--f61c96aa\China - Production Building - Airfield - NBAirfield.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00286--nbairfield--f61c96aa\China - Production Building - Airfield - NBAirfield.gif,True
23,06487--nbwarfact-a4sn--87238c85,ZH_Generals\W3D.big\Art\W3D\NBWarFact_A4SN.w3d,China,Production Building,War Factory,NBWarFact_A4SN,gif,reject,,incomplete construction state or placeholder material,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06487--nbwarfact-a4sn--87238c85\China - Production Building - War Factory - NBWarFact_A4SN.gif,,False
24,05798--nbpcenter--109eb432,"ZH_Generals\W3D.big\Art\W3D\China Propaganda Center, Infa China Propaganda Center, Nuke China Propaganda Center, Tank China Propaganda Center - NBPCenter.w3d",China,Technology Building,Propaganda Center,NBPCenter,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05798--nbpcenter--109eb432\China - Technology Building - Propaganda Center - NBPCenter.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05798--nbpcenter--109eb432\China - Technology Building - Propaganda Center - NBPCenter.gif,True
25,04902--cbngovbuil-g--a11b472d,ZH_Generals\W3D.big\Art\W3D\CBNGovBuil_G.w3d,Civilian,Civilian Building,Asia Government Building,CBNGovBuil_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04902--cbngovbuil-g--a11b472d\Civilian - Civilian Building - Asia Government Building - CBNGovBuil_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04902--cbngovbuil-g--a11b472d\Civilian - Civilian Building - Asia Government Building - CBNGovBuil_G.gif,False
26,05032--cbntbuil-g--8efe510e,ZH_Generals\W3D.big\Art\W3D\CBNTbuil_G.w3d,Civilian,Civilian Building,Asia Town Hall 01,CBNTbuil_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05032--cbntbuil-g--8efe510e\Civilian - Civilian Building - Asia Town Hall 01 - CBNTbuil_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05032--cbntbuil-g--8efe510e\Civilian - Civilian Building - Asia Town Hall 01 - CBNTbuil_G.gif,False
27,04780--cbnarcade-g--b5ebf106,ZH_Generals\W3D.big\Art\W3D\CBNArcade_G.w3d,Civilian,Civilian Building,Asian Arcade,CBNArcade_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04780--cbnarcade-g--b5ebf106\Civilian - Civilian Building - Asian Arcade - CBNArcade_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04780--cbnarcade-g--b5ebf106\Civilian - Civilian Building - Asian Arcade - CBNArcade_G.gif,False
28,04858--cbndealers-g--0b2b5f05,ZH_Generals\W3D.big\Art\W3D\CBNDealerS_G.w3d,Civilian,Civilian Building,Asian Dealership,CBNDealerS_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04858--cbndealers-g--0b2b5f05\Civilian - Civilian Building - Asian Dealership - CBNDealerS_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04858--cbndealers-g--0b2b5f05\Civilian - Civilian Building - Asian Dealership - CBNDealerS_G.gif,False
29,04936--cbniteclub-g--c8d5cfeb,ZH_Generals\W3D.big\Art\W3D\CBNiteClub_G.w3d,Civilian,Civilian Building,Asian Night Club,CBNiteClub_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04936--cbniteclub-g--c8d5cfeb\Civilian - Civilian Building - Asian Night Club - CBNiteClub_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04936--cbniteclub-g--c8d5cfeb\Civilian - Civilian Building - Asian Night Club - CBNiteClub_G.gif,False
30,04952--cbnoffice1-g--3e1eaced,ZH_Generals\W3D.big\Art\W3D\CBNOffice1_G.w3d,Civilian,Civilian Building,Asian Office 01,CBNOffice1_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04952--cbnoffice1-g--3e1eaced\Civilian - Civilian Building - Asian Office 01 - CBNOffice1_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04952--cbnoffice1-g--3e1eaced\Civilian - Civilian Building - Asian Office 01 - CBNOffice1_G.gif,False
31,04916--cbnhongk03-g--b6f54336,ZH_Generals\W3D.big\Art\W3D\CBNHongK03_G.w3d,Civilian,Civilian Building,Asian Office 02,CBNHongK03_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04916--cbnhongk03-g--b6f54336\Civilian - Civilian Building - Asian Office 02 - CBNHongK03_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04916--cbnhongk03-g--b6f54336\Civilian - Civilian Building - Asian Office 02 - CBNHongK03_G.gif,False
32,04906--cbnhongk01-g--caf4b956,ZH_Generals\W3D.big\Art\W3D\CBNHongK01_G.w3d,Civilian,Civilian Building,Asian Sky Scraper 01,CBNHongK01_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04906--cbnhongk01-g--caf4b956\Civilian - Civilian Building - Asian Sky Scraper 01 - CBNHongK01_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04906--cbnhongk01-g--caf4b956\Civilian - Civilian Building - Asian Sky Scraper 01 - CBNHongK01_G.gif,False
33,02339--cine-b303--d487a213,W3DZH.big\Art\W3D\CINE B 303 - CINE_B303.w3d,Civilian,Civilian Building,B 303,CINE_B303,gif,reject,,blank or effectively invisible,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02339--cine-b303--d487a213\Civilian - Civilian Building - B 303 - CINE_B303.gif,,False
34,00361--cbbarn--03168e65,W3DZH.big\Art\W3D\CBBARN.w3d,Civilian,Civilian Building,BARN,CBBARN,gif,reject,,no useful visible motion,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00361--cbbarn--03168e65\Civilian - Civilian Building - BARN - CBBARN.gif,,False
35,00353--cbbaikgrnd-g--77decee7,W3DZH.big\Art\W3D\CBBaikGrnd_g.w3d,Civilian,Civilian Building,Baikonur Ground Control Center,CBBaikGrnd_g,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00353--cbbaikgrnd-g--77decee7\Civilian - Civilian Building - Baikonur Ground Control Center - CBBaikGrnd_g.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00353--cbbaikgrnd-g--77decee7\Civilian - Civilian Building - Baikonur Ground Control Center - CBBaikGrnd_g.gif,True
36,04294--cbbaikhang-g--ecc9e5fd,ZH_Generals\W3D.big\Art\W3D\CBBaikHang_G.w3d,Civilian,Civilian Building,Baikonur Hanger,CBBaikHang_G,gif,reject,,no useful visible motion,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04294--cbbaikhang-g--ecc9e5fd\Civilian - Civilian Building - Baikonur Hanger - CBBaikHang_G.gif,,False
37,04802--cbnbarncoo-g--2b4769e2,ZH_Generals\W3D.big\Art\W3D\CBNBarnCoo_g.w3d,Civilian,Civilian Building,Barn Coop,CBNBarnCoo_g,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04802--cbnbarncoo-g--2b4769e2\Civilian - Civilian Building - Barn Coop - CBNBarnCoo_g.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04802--cbnbarncoo-g--2b4769e2\Civilian - Civilian Building - Barn Coop - CBNBarnCoo_g.gif,False
38,00413--cbbrnshed-dng--7eb813a6,W3DZH.big\Art\W3D\CBBrnShed_dng.w3d,Civilian,Civilian Building,Barn Shed,CBBrnShed_dng,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00413--cbbrnshed-dng--7eb813a6\Civilian - Civilian Building - Barn Shed - CBBrnShed_dng.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00413--cbbrnshed-dng--7eb813a6\Civilian - Civilian Building - Barn Shed - CBBrnShed_dng.gif,True
39,02340--cine-biak--f611baca,W3DZH.big\Art\W3D\CINE Biak - CINE_Biak.w3d,Civilian,Civilian Building,Biak,CINE_Biak,gif,reject,,blank or effectively invisible,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02340--cine-biak--f611baca\Civilian - Civilian Building - Biak - CINE_Biak.gif,,False
40,02343--cine-biak03--d7969537,W3DZH.big\Art\W3D\CINE Biak 03 - CINE_Biak03.w3d,Civilian,Civilian Building,Biak 03,CINE_Biak03,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02343--cine-biak03--d7969537\Civilian - Civilian Building - Biak 03 - CINE_Biak03.gif,,False
41,04825--cbnboatdoc-dg--5b33c260,ZH_Generals\W3D.big\Art\W3D\CBNBoatDoc_dg.w3d,Civilian,Civilian Building,Boat Docks 01,CBNBoatDoc_dg,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04825--cbnboatdoc-dg--5b33c260\Civilian - Civilian Building - Boat Docks 01 - CBNBoatDoc_dg.gif,,False
42,04808--cbnboatdo2-dg--65175b32,ZH_Generals\W3D.big\Art\W3D\CBNBoatDo2_dg.w3d,Civilian,Civilian Building,Boat Docks 02,CBNBoatDo2_dg,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04808--cbnboatdo2-dg--65175b32\Civilian - Civilian Building - Boat Docks 02 - CBNBoatDo2_dg.gif,,False
43,00427--cbbunker01-dsg--5a4cdd30,W3DZH.big\Art\W3D\CBBunker01_DSG.w3d,Civilian,Civilian Building,Bunker 01,CBBunker01_DSG,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00427--cbbunker01-dsg--5a4cdd30\Civilian - Civilian Building - Bunker 01 - CBBunker01_DSG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00427--cbbunker01-dsg--5a4cdd30\Civilian - Civilian Building - Bunker 01 - CBBunker01_DSG.gif,True
44,00440--cbbypasboy--254c8b2d,W3DZH.big\Art\W3D\CBBypasBoy.w3d,Civilian,Civilian Building,Bypas Boy,CBBypasBoy,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00440--cbbypasboy--254c8b2d\Civilian - Civilian Building - Bypas Boy - CBBypasBoy.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00440--cbbypasboy--254c8b2d\Civilian - Civilian Building - Bypas Boy - CBBypasBoy.gif,False
45,02344--cine-cplane--7de4a88b,W3DZH.big\Art\W3D\CINE C Plane - CINE_CPlane.w3d,Civilian,Civilian Building,C Plane,CINE_CPlane,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02344--cine-cplane--7de4a88b\Civilian - Civilian Building - C Plane - CINE_CPlane.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02344--cine-cplane--7de4a88b\Civilian - Civilian Building - C Plane - CINE_CPlane.gif,False
46,02346--cine-cplane03--b2666422,W3DZH.big\Art\W3D\CINE C Plane 03 - CINE_CPlane03.w3d,Civilian,Civilian Building,C Plane 03,CINE_CPlane03,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02346--cine-cplane03--b2666422\Civilian - Civilian Building - C Plane 03 - CINE_CPlane03.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02346--cine-cplane03--b2666422\Civilian - Civilian Building - C Plane 03 - CINE_CPlane03.gif,False
47,00719--cbgerbl01-dg--a4e6f138,W3DZH.big\Art\W3D\CBGerbl01_DG.w3d,Civilian,Civilian Building,CB Gerbl 01,CBGerbl01_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00719--cbgerbl01-dg--a4e6f138\Civilian - Civilian Building - CB Gerbl 01 - CBGerbl01_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00719--cbgerbl01-dg--a4e6f138\Civilian - Civilian Building - CB Gerbl 01 - CBGerbl01_DG.gif,False
48,00726--cbgerbl02-g--1a72867d,W3DZH.big\Art\W3D\CBGerbl02_G.w3d,Civilian,Civilian Building,CB Gerbl 02,CBGerbl02_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00726--cbgerbl02-g--1a72867d\Civilian - Civilian Building - CB Gerbl 02 - CBGerbl02_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00726--cbgerbl02-g--1a72867d\Civilian - Civilian Building - CB Gerbl 02 - CBGerbl02_G.gif,False
49,00729--cbgerbl03-dg--a4b4216c,W3DZH.big\Art\W3D\CBGerbl03_DG.w3d,Civilian,Civilian Building,CB Gerbl 03,CBGerbl03_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00729--cbgerbl03-dg--a4b4216c\Civilian - Civilian Building - CB Gerbl 03 - CBGerbl03_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00729--cbgerbl03-dg--a4b4216c\Civilian - Civilian Building - CB Gerbl 03 - CBGerbl03_DG.gif,False
